Player,Tm,G,Wins,Seed,MP,PTS,TRB,AST,STL,BLK,TOV,PF,FG%,2P%,3P%,eFG%,FT%,TS%,WS,VORP,BPM,All-Star
James Harden,HOU,61,51.25,9,36.7,34.4,6.4,7.4,1.7,0.9,4.5,3.4,0.435,0.538,0.352,0.533,0.861,0.616,11.5,6.3,9,1
Giannis Antetokounmpo,MIL,57,66.855,1,30.9,29.6,13.7,5.8,1,1,3.7,3,0.547,0.622,0.306,0.583,0.633,0.608,10.4,6,11.5,1
Trae Young,ATL,60,24.485,26,35.3,29.6,4.3,9.3,1.1,0.1,4.8,1.7,0.437,0.501,0.361,0.519,0.86,0.595,5.9,3.2,4,1
Damian Lillard,POR,58,36.024,17,36.9,28.9,4.3,7.8,1,0.4,2.9,1.7,0.457,0.518,0.394,0.554,0.888,0.619,9.6,5,7.2,1
Luka Dončić,DAL,54,48.955,11,33.3,28.7,9.3,8.7,1.1,0.2,4.2,2.5,0.461,0.574,0.318,0.531,0.752,0.584,8.1,4.7,8.4,1
Russell Westbrook,HOU,53,51.25,9,35.9,27.5,8,7,1.7,0.3,4.5,3.5,0.474,0.518,0.254,0.495,0.777,0.539,4.3,1.8,1.8,1
Kawhi Leonard,LAC,52,55.509,4,32.2,26.9,7.2,5,1.8,0.6,2.8,1.9,0.468,0.507,0.372,0.521,0.887,0.587,7.8,4.7,9.1,1
Anthony Davis,LAL,56,63.839,2,34.4,26.8,9.4,3.1,1.5,2.4,2.5,2.5,0.509,0.552,0.337,0.542,0.848,0.614,10.5,5.2,8.6,1
Devin Booker,PHO,62,32.8,21,36.1,26.1,4.2,6.6,0.7,0.3,3.9,3,0.487,0.544,0.36,0.543,0.916,0.617,6,2.1,1.7,1
LeBron James,LAL,61,63.839,2,34.9,25.6,7.9,10.5,1.2,0.5,4,1.8,0.495,0.566,0.348,0.552,0.699,0.579,9.5,5.7,8.6,1
Brandon Ingram,NOP,57,35.327,18,34.2,24.2,6.3,4.2,1,0.7,3.1,2.9,0.464,0.508,0.384,0.532,0.858,0.588,5,2.2,2.4,1
Donovan Mitchell,UTA,64,52.982,7,34.4,24.1,4.4,4.2,1.1,0.2,2.6,2.5,0.453,0.499,0.366,0.516,0.859,0.56,5.4,2.2,2,1
Pascal Siakam,TOR,53,58.942,3,35.5,23.6,7.5,3.6,1,0.9,2.5,2.8,0.459,0.506,0.359,0.517,0.8,0.559,5.2,2,2.2,1
Jayson Tatum,BOS,59,55.096,5,34.6,23.6,7.1,2.9,1.4,0.9,2.2,2.1,0.448,0.479,0.398,0.523,0.806,0.562,6.3,3,3.9,1
Joel Embiid,PHI,44,49.2,13,30.2,23.4,11.8,3.1,0.9,1.3,3.1,3.4,0.474,0.511,0.348,0.514,0.814,0.593,5.6,2.4,5.2,1
Kemba Walker,BOS,50,55.096,5,31.8,21.2,4.1,4.9,0.9,0.5,2.1,1.5,0.421,0.47,0.377,0.52,0.867,0.569,5.4,2.7,4.7,1
Khris Middleton,MIL,55,66.855,1,30.1,21.1,6.2,4.1,0.9,0.1,2.1,2.2,0.499,0.547,0.418,0.577,0.908,0.619,7.4,2.7,4.4,1
Jimmy Butler,MIA,54,51.727,8,34.3,20.2,6.6,6.1,1.7,0.5,2.2,1.4,0.454,0.494,0.248,0.474,0.833,0.583,8.5,3.4,5.2,1
Nikola Jokić,DEN,65,54.254,6,32.3,20.2,10.2,6.9,1.2,0.7,3.1,3.1,0.528,0.594,0.314,0.565,0.813,0.604,9.2,5.1,7.6,1
Kyle Lowry,TOR,52,58.942,3,36.6,19.7,4.8,7.7,1.3,0.4,3,3.2,0.417,0.505,0.354,0.52,0.861,0.589,6.9,2.5,3.2,1
Domantas Sabonis,IND,62,49.2,12,34.8,18.5,12.4,5,0.8,0.5,2.7,3.1,0.54,0.565,0.254,0.55,0.723,0.586,7.6,2.9,3.2,1
Chris Paul,OKC,63,51.25,10,31.8,17.7,4.9,6.8,1.6,0.1,2.2,2.2,0.489,0.557,0.362,0.552,0.9,0.609,8.1,3.2,4.3,1
Ben Simmons,PHI,54,49.2,13,35.7,16.7,7.8,8.2,2.1,0.6,3.6,3.2,0.585,0.588,0.333,0.587,0.627,0.608,7,2.9,3.9,1
Bam Adebayo,MIA,65,51.727,8,34.4,16.2,10.5,5.1,1.2,1.3,2.8,2.5,0.567,0.576,0.077,0.568,0.69,0.606,8.1,3.2,3.6,1
Rudy Gobert,UTA,63,52.982,7,34.5,15,13.7,1.5,0.7,2,2,3.2,0.695,0.695,0,0.695,0.624,0.698,10.1,3.1,3.6,1
Bradley Beal,WAS,57,30.75,22,36,30.5,4.2,6.1,1.2,0.4,3.4,2.2,0.455,0.515,0.353,0.52,0.842,0.579,5.1,2.5,2.9,0
